R E   tau stati

0 10 -1 1322044628,1800
0 11 -1 1322044628,2140
0 12 -1 1322044628,2740
0 13 -1 1322044628,3050
0 14 -1 1322044628,3400
0 15 -1 1322044628,3710
0 16 -1 1322044628,4300
0 17 -1 1322044628,4650
0 18 -1 1322044628,5000
1 19 16 2 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 1322044628,5370
0 4 -1 1322044628,5890
0 5 -1 1322044628,6260
0 6 -1 1322044628,6550
0 7 -1 1322044628,7290
0 8 -1 1322044628,7500
0 9 -1 1322044628,7810
0 10 -1 1322044628,8160
0 11 -1 1322044628,8700
0 12 -1 1322044628,9060
0 13 -1 1322044628,9410
0 14 -1 1322044629,0010
0 15 -1 1322044629,0310
0 16 -1 1322044629,0660
0 17 -1 1322044629,1010
0 18 -1 1322044629,1310
1 19 15 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1322044629,1970
0 5 -1 1322044629,2290
0 6 -1 1322044629,2760
0 7 -1 1322044629,3100
0 8 -1 1322044629,3410
0 9 -1 1322044629,4010
0 10 -1 1322044629,4350
0 11 -1 1322044629,4710
0 12 -1 1322044629,5050
0 13 -1 1322044629,5410
0 14 -1 1322044629,5750
0 15 -1 1322044629,6310
0 16 -1 1322044629,6650
0 17 -1 1322044629,7010
0 18 -1 1322044629,7610
0 19 -1 1322044629,7900
0 20 -1 1322044629,8250
1 21 18 2 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 1322044629,8570
0 4 -1 1322044629,9200
0 5 -1 1322044629,9510
0 6 -1 1322044629,9870
0 7 -1 1322044630,0400
0 8 -1 1322044630,0740
0 9 -1 1322044630,1060
0 10 -1 1322044630,1400
0 11 -1 1322044630,2000
0 12 -1 1322044630,2310
0 13 -1 1322044630,2660
0 14 -1 1322044630,3020
0 15 -1 1322044630,3310
0 16 -1 1322044630,3900
1 17 13 0 1 1 1 1 1 1 1 1 1 1 1 1 1322044630,4260
0 5 -1 1322044630,4600
0 6 -1 1322044630,4910
1 7 4 2 3 3 3 1322044630,5550
0 4 -1 1322044630,5910
0 5 -1 1322044630,6300
0 6 -1 1322044630,6600
0 7 -1 1322044630,6950
0 8 -1 1322044630,7500
0 9 -1 1322044630,7800
0 10 -1 1322044630,8160
0 11 -1 1322044630,8800
0 12 -1 1322044630,9160
0 13 -1 1322044630,9410
0 14 -1 1322044631,0000
0 15 -1 1322044631,0300
1 16 13 3 3 0 0 0 0 0 0 0 0 0 0 0 1322044631,0670
0 4 -1 1322044631,1040
0 5 -1 1322044631,1600
0 6 -1 1322044631,1900
0 7 -1 1322044631,2250
0 8 -1 1322044631,2600
0 9 -1 1322044631,2910
0 10 -1 1322044631,3500
0 11 -1 1322044631,3830
0 12 -1 1322044631,4350
0 13 -1 1322044631,4660
0 14 -1 1322044631,5000
0 15 -1 1322044631,5310
0 16 -1 1322044631,5900
0 17 -1 1322044631,6250
0 18 -1 1322044631,6610
1 19 14 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1322044631,6910
0 6 -1 1322044631,7500
0 7 -1 1322044631,7810
0 8 -1 1322044631,8400
0 9 -1 1322044631,8850
0 10 -1 1322044631,9060
0 11 -1 1322044631,9400
0 12 -1 1322044631,9940
0 13 -1 1322044632,0250
0 14 -1 1322044632,0590
0 15 -1 1322044632,1190
0 16 -1 1322044632,1500
0 17 -1 1322044632,1850
0 18 -1 1322044632,2160
0 19 -1 1322044632,2760
1 20 17 2 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 1322044632,3160
0 4 -1 1322044632,3450
0 5 -1 1322044632,4050
0 6 -1 1322044632,4350
0 7 -1 1322044632,4690
0 8 -1 1322044632,5010
0 9 -1 1322044632,5350
0 10 -1 1322044632,5700
0 11 -1 1322044632,6300
0 12 -1 1322044632,6600
0 13 -1 1322044632,6950
0 14 -1 1322044632,7670
0 15 -1 1322044632,8000
0 16 -1 1322044632,8220
0 17 -1 1322044632,8500
1 18 13 0 1 1 1 1 1 1 1 1 1 1 1 1 1322044632,9110
0 6 -1 1322044632,9410
0 7 -1 1322044632,9760
0 8 -1 1322044633,0410
0 9 -1 1322044633,0710
0 10 -1 1322044633,1200
0 11 -1 1322044633,1510
0 12 -1 1322044633,1860
0 13 -1 1322044633,2210
0 14 -1 1322044633,2600
0 15 -1 1322044633,2900
0 16 -1 1322044633,3500
0 17 -1 1322044633,3800
0 18 -1 1322044633,4100
0 19 -1 1322044633,4710
1 20 17 2 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 1322044633,5110
0 4 -1 1322044633,5410
0 5 -1 1322044633,5700
0 6 -1 1322044633,6300
0 7 -1 1322044633,6650
0 8 -1 1322044633,6960
0 9 -1 1322044633,7300
0 10 -1 1322044633,7900
0 11 -1 1322044633,8210
0 12 -1 1322044633,8550
0 13 -1 1322044633,9100
0 14 -1 1322044633,9460
0 15 -1 1322044633,9800
0 16 -1 1322044634,0400
0 17 -1 1322044634,0700
0 18 -1 1322044634,1220
1 19 15 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1322044634,1550
0 5 -1 1322044634,1960
0 6 -1 1322044634,2300
0 7 -1 1322044634,2650
0 8 -1 1322044634,3000
0 9 -1 1322044634,3300
0 10 -1 1322044634,4000
0 11 -1 1322044634,4360
0 12 -1 1322044634,4700
0 13 -1 1322044634,5060
0 14 -1 1322044634,5400
0 15 -1 1322044634,5950
0 16 -1 1322044634,6300
0 17 -1 1322044634,6610
0 18 -1 1322044634,7000
0 19 -1 1322044634,7300
0 20 -1 1322044634,7900
1 21 18 2 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1322044634,8230
0 4 -1 1322044634,8550
0 5 -1 1322044634,9110
0 6 -1 1322044634,9550
0 7 -1 1322044634,9800
0 8 -1 1322044635,0100
0 9 -1 1322044635,0700
0 10 -1 1322044635,1050
0 11 -1 1322044635,1360
0 12 -1 1322044635,2000
0 13 -1 1322044635,2300
0 14 -1 1322044635,2650
0 15 -1 1322044635,3200
0 16 -1 1322044635,3550
0 17 -1 1322044635,3860
1 18 13 0 1 1 1 1 1 1 1 1 1 1 1 1 1322044635,4210
0 6 -1 1322044635,4540
0 7 -1 1322044635,5150
0 8 -1 1322044635,5450
0 9 -1 1322044635,5800
0 10 -1 1322044635,6360
0 11 -1 1322044635,6850
0 12 -1 1322044635,7150
0 13 -1 1322044635,7450
0 14 -1 1322044635,8050
0 15 -1 1322044635,8350
0 16 -1 1322044635,8710
0 17 -1 1322044635,9100
0 18 -1 1322044635,9400
0 19 -1 1322044636,0000
1 20 17 2 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 1322044636,0320
0 4 -1 1322044636,0660
0 5 -1 1322044636,1210
0 6 -1 1322044636,1600
0 7 -1 1322044636,1900
0 8 -1 1322044636,2260
0 9 -1 1322044636,2550
0 10 -1 1322044636,3140
0 11 -1 1322044636,3460
0 12 -1 1322044636,3850
0 13 -1 1322044636,4150
